issue,count,fatal,passed
duplicate_symbol_timestamp,0,True,True
missing_open,0,True,True
missing_high,0,True,True
missing_low,0,True,True
missing_close,0,True,True
nonpositive_open,0,True,True
nonpositive_high,0,True,True
nonpositive_low,0,True,True
nonpositive_close,0,True,True
high_below_ohlc_max,0,True,True
low_above_ohlc_min,0,True,True
missing_volume,0,True,True
negative_volume,0,True,True
zero_volume,0,False,True
missing_trade_count,0,True,True
negative_trade_count,0,True,True
zero_trade_count,0,False,True
missing_vwap,0,False,True
nonpositive_vwap,0,False,True
vwap_outside_low_high,0,False,True
