symbol,frequency,return_type,transformation,lag,pair_count,autocorrelation
IWM,15min_within_session,intraday_log_return,raw,1,36048,0.012574117382751573
IWM,15min_within_session,intraday_log_return,raw,2,34540,-0.037446926266634824
IWM,15min_within_session,intraday_log_return,raw,4,31524,-0.006589242620421638
IWM,15min_within_session,intraday_log_return,raw,8,25492,0.0034904317713705226
IWM,15min_within_session,intraday_log_return,raw,13,17952,0.01512197135814382
IWM,15min_within_session,intraday_log_return,raw,25,0,
IWM,15min_within_session,intraday_log_return,absolute,1,36048,0.3404586263190607
IWM,15min_within_session,intraday_log_return,absolute,2,34540,0.3448699583974559
IWM,15min_within_session,intraday_log_return,absolute,4,31524,0.3252359172948768
IWM,15min_within_session,intraday_log_return,absolute,8,25492,0.25487933577263583
IWM,15min_within_session,intraday_log_return,absolute,13,17952,0.22091101288262527
IWM,15min_within_session,intraday_log_return,absolute,25,0,
IWM,15min_within_session,intraday_log_return,squared,1,36048,0.3360740985579036
IWM,15min_within_session,intraday_log_return,squared,2,34540,0.23960346642802507
IWM,15min_within_session,intraday_log_return,squared,4,31524,0.23847114632102673
IWM,15min_within_session,intraday_log_return,squared,8,25492,0.13694483351684497
IWM,15min_within_session,intraday_log_return,squared,13,17952,0.1261696422040345
IWM,15min_within_session,intraday_log_return,squared,25,0,
QQQ,15min_within_session,intraday_log_return,raw,1,36048,0.016786793657622607
QQQ,15min_within_session,intraday_log_return,raw,2,34540,-0.018732577216137667
QQQ,15min_within_session,intraday_log_return,raw,4,31524,0.004205938092150057
QQQ,15min_within_session,intraday_log_return,raw,8,25492,-0.00453124151524024
QQQ,15min_within_session,intraday_log_return,raw,13,17952,0.020986413813243978
QQQ,15min_within_session,intraday_log_return,raw,25,0,
QQQ,15min_within_session,intraday_log_return,absolute,1,36048,0.3318173626538971
QQQ,15min_within_session,intraday_log_return,absolute,2,34540,0.32446586553161366
QQQ,15min_within_session,intraday_log_return,absolute,4,31524,0.31471067504393996
QQQ,15min_within_session,intraday_log_return,absolute,8,25492,0.25358115212907334
QQQ,15min_within_session,intraday_log_return,absolute,13,17952,0.2177530201130797
QQQ,15min_within_session,intraday_log_return,absolute,25,0,
QQQ,15min_within_session,intraday_log_return,squared,1,36048,0.27234023466457236
QQQ,15min_within_session,intraday_log_return,squared,2,34540,0.2234324894721688
QQQ,15min_within_session,intraday_log_return,squared,4,31524,0.17889320416175214
QQQ,15min_within_session,intraday_log_return,squared,8,25492,0.09473614832686195
QQQ,15min_within_session,intraday_log_return,squared,13,17952,0.11742884300491603
QQQ,15min_within_session,intraday_log_return,squared,25,0,
SPY,15min_within_session,intraday_log_return,raw,1,36048,0.007561211241657681
SPY,15min_within_session,intraday_log_return,raw,2,34540,-0.01862380251091034
SPY,15min_within_session,intraday_log_return,raw,4,31524,0.0031448121959072764
SPY,15min_within_session,intraday_log_return,raw,8,25492,-0.0007443956139565426
SPY,15min_within_session,intraday_log_return,raw,13,17952,0.02395901770555878
SPY,15min_within_session,intraday_log_return,raw,25,0,
SPY,15min_within_session,intraday_log_return,absolute,1,36048,0.37710095212977685
SPY,15min_within_session,intraday_log_return,absolute,2,34540,0.375536126263835
SPY,15min_within_session,intraday_log_return,absolute,4,31524,0.3644361686967464
SPY,15min_within_session,intraday_log_return,absolute,8,25492,0.30976540957208004
SPY,15min_within_session,intraday_log_return,absolute,13,17952,0.28743788825339317
SPY,15min_within_session,intraday_log_return,absolute,25,0,
SPY,15min_within_session,intraday_log_return,squared,1,36048,0.26351998840493174
SPY,15min_within_session,intraday_log_return,squared,2,34540,0.22645214847333112
SPY,15min_within_session,intraday_log_return,squared,4,31524,0.19548738884049346
SPY,15min_within_session,intraday_log_return,squared,8,25492,0.1102540903402872
SPY,15min_within_session,intraday_log_return,squared,13,17952,0.1661164922939993
SPY,15min_within_session,intraday_log_return,squared,25,0,
