symbol,session_date,annualized_total_realized_volatility,annualized_regular_realized_volatility,annualized_parkinson_volatility,overnight_variance_share,jump_variation_share,maximum_absolute_bar_return
IWM,2020-03-16,2.196240658890926,0.886612368965656,0.8859496777004394,0.8370299807574244,0.0,0.02715008563830157
SPY,2020-03-16,2.0161597495526973,0.810531484822147,0.7541772433362192,0.8383819365903777,0.46340481178191434,0.02783731488986607
QQQ,2020-03-16,1.9574345789639265,0.9518722930491404,0.8367249778854794,0.7635262931934543,0.6115630362529805,0.04658705549011177
IWM,2020-03-12,1.5210652891009795,0.9375533215975559,0.6844839712974404,0.6200764260645106,0.16914857520180998,0.03358261310054633
IWM,2025-04-07,1.5183195545457346,1.390390694072697,0.976414949668034,0.16141452847919927,0.0,0.052888770209142066
SPY,2020-03-18,1.4538819475260973,0.8731799667713869,0.815072148038732,0.6392974286613332,0.22977283622382313,0.030036450780991153
IWM,2020-03-13,1.4207146324252835,1.0965408975195616,0.8652815846995467,0.40428853111228036,0.3913792920478742,0.03405132514359188
IWM,2020-03-18,1.396825190687072,1.0940875362346585,0.989543410778918,0.3864922912704244,0.0,0.029654413214534436
SPY,2020-03-12,1.386910160134554,0.8457176402354213,0.703952407957487,0.6281617013381899,0.23245382862525507,0.03469052243007287
QQQ,2020-03-12,1.3721443272805103,0.803640736766627,0.7179810769613494,0.6569761655834001,0.3089410368298405,0.02961615558708708
SPY,2020-03-09,1.3229863639170751,0.49383086446047936,0.36730722543821875,0.8606696513302954,0.20304082456301933,0.01476393051388758
QQQ,2020-03-18,1.3033069883739252,0.9108959732104939,0.6848354667146789,0.5115230036696298,0.3188242713072594,0.034435394685541354
SPY,2020-03-13,1.297266790327596,0.903347827764382,0.7879517156142345,0.5151008661976335,0.3177605511861329,0.038051881641137264
QQQ,2025-04-07,1.292063014574645,1.1666843161556593,0.9196724308685817,0.18465891038632207,0.0,0.0390415817729286
QQQ,2020-03-09,1.2687079909564314,0.523408729964778,0.43865997816793306,0.8298003849751955,0.2922902814084458,0.017075277468201477
QQQ,2020-03-13,1.2433022699341265,0.9077860068368887,0.8372921544823596,0.466894068246471,0.2537571086737226,0.039287342636422196
IWM,2020-03-09,1.242812880536172,0.41678924910124343,0.4232689445508291,0.8875339286445418,0.23430399605706892,0.011481561721732092
IWM,2020-03-17,1.2351644102122317,1.2090543269744114,0.8937118421431519,0.04183105197062264,0.36537675863667657,0.03882042180186396
IWM,2020-03-19,1.2344883872524426,1.2205101041257238,1.047424540804297,0.022518063760706673,0.0,0.03859354372128898
IWM,2020-11-09,1.2268936155179067,0.33415956392578267,0.48155940054339585,0.9258187788937534,0.34827533507794745,0.010141826909086937
SPY,2025-04-07,1.1713621635723541,1.049344438110464,0.7854677926733743,0.19748391365757,0.0,0.03584800474946537
IWM,2020-03-23,1.0846527880845793,1.0803550348168818,0.6037731224600685,0.007908961751651972,0.1619945042429626,0.032832322663622904
QQQ,2020-03-17,1.0101640731459147,0.8567064200290565,0.7870596044620083,0.28074944499536003,0.04652512823458738,0.02089413186152278
QQQ,2024-08-05,0.9644587559141446,0.41079879832477245,0.4148993961988683,0.818577557906809,0.021585695346798744,0.012108174224433554
SPY,2020-03-17,0.9372724796391502,0.8616369369932121,0.7387648646563671,0.1548829070600281,0.09096352700966327,0.022503383212208128
SPY,2020-03-24,0.9317498280524328,0.42769307458881234,0.4113049035365222,0.7892993897469922,0.08687547664718331,0.011673812495731184
QQQ,2020-03-24,0.9295752967651149,0.39326223732048093,0.31025074644908673,0.8210237750794236,0.1421083005718907,0.010042880414801836
QQQ,2025-04-09,0.9147714486635562,0.9143179908250314,1.1327170452100526,0.0009911665876020939,0.4336939683675684,0.04452278782033936
SPY,2025-04-09,0.8452776631948542,0.8386454027788297,0.9781150160528369,0.015630937654848742,0.5232691421289944,0.04199848517988247
SPY,2020-02-28,0.8388757924661742,0.6883085275587426,0.3538031670767528,0.3267583494295304,0.33257865772381834,0.027605831668679137
