configuration_id,short_window,long_window,neutral_band,symbol,calendar_year,observations,position_eligible_observations,gross_return,net_return,net_annualized_volatility,net_sharpe_ratio,net_max_drawdown,turnover,long_exposure_pct,short_exposure_pct,neutral_exposure_pct
s004_l032_d0p0000,4,32,0,SPY,2020,6554,6522,0.282291299139,0.211117023258,0.329294346045,0.747370824485,-0.21775923032,571,58.739650414,41.260349586,0
s004_l032_d0p0000,4,32,0,SPY,2021,6540,6540,0.00342183381624,-0.0569136295179,0.126944801357,-0.398963373946,-0.126560461986,620,60.504587156,39.4801223242,0.0152905198777
s004_l032_d0p0000,4,32,0,SPY,2022,6514,6514,-0.0778198580604,-0.1353514332,0.227008496167,-0.530770078699,-0.289102717443,644,47.0832054037,52.9167945963,0
s004_l032_d0p0000,4,32,0,SPY,2023,6476,6476,0.0219201054389,-0.0393304728135,0.128744488847,-0.250935542172,-0.159779034592,618,56.0376775788,43.9623224212,0
s004_l032_d0p0000,4,32,0,SPY,2024,6516,6516,-0.0365477114212,-0.0953861438008,0.123806164765,-0.752433830174,-0.136156190522,630,58.0417434009,41.9582565991,0
s004_l032_d0p0000,4,32,0,SPY,2025,6464,6464,-0.279191149685,-0.322797738373,0.193935011387,-1.94008291564,-0.339346183329,624,57.5340346535,42.4659653465,0
s004_l032_d0p0005,4,32,0.0005,SPY,2020,6554,6522,0.26515879116,0.193500452622,0.32353489301,0.709633152622,-0.206336548548,583,54.9678012879,37.7184912603,7.3137074517
s004_l032_d0p0005,4,32,0.0005,SPY,2021,6540,6540,0.0373634220939,-0.0237373428173,0.12176451002,-0.13676805843,-0.0974084273569,607,53.7003058104,32.9204892966,13.379204893
s004_l032_d0p0005,4,32,0.0005,SPY,2022,6514,6514,-0.0665578378102,-0.124345905653,0.221247583413,-0.49292488269,-0.26049880427,639,44.7651212772,49.5701565858,5.66472213694
s004_l032_d0p0005,4,32,0.0005,SPY,2023,6476,6476,0.0945871836022,0.0292979408302,0.121482762708,0.30123972072,-0.108273263245,615,50.6948733786,38.3106856084,10.994441013
s004_l032_d0p0005,4,32,0.0005,SPY,2024,6516,6516,0.036598595286,-0.024064775979,0.11748798431,-0.149902378694,-0.144811127196,603,51.2737875998,36.387354205,12.3388581952
s004_l032_d0p0005,4,32,0.0005,SPY,2025,6464,6464,-0.254901944158,-0.299421681763,0.189045532354,-1.81327150927,-0.341806489487,616,51.3768564356,37.0513613861,11.5717821782
s004_l032_d0p0010,4,32,0.001,SPY,2020,6554,6522,0.281431598866,0.208854993305,0.319744964118,0.75420786938,-0.207037781251,583,50.9659613615,34.4832873352,14.5507513033
s004_l032_d0p0010,4,32,0.001,SPY,2021,6540,6540,0.0539329617122,-0.00277226415812,0.114952677556,0.0332705729515,-0.0985634726792,553,46.880733945,27.8440366972,25.2752293578
s004_l032_d0p0010,4,32,0.001,SPY,2022,6514,6514,0.00441776756242,-0.0545530282252,0.215909482105,-0.153285451054,-0.216292370564,605,42.4777402518,46.3463309794,11.1759287688
s004_l032_d0p0010,4,32,0.001,SPY,2023,6476,6476,0.0948375554396,0.035729698219,0.114467913956,0.367533195362,-0.0957920229352,555,45.8153180976,33.5701050031,20.6145768993
s004_l032_d0p0010,4,32,0.001,SPY,2024,6516,6516,0.102891339477,0.0408471646884,0.111048255683,0.417845818143,-0.126922928365,579,44.9662369552,31.1387354205,23.8950276243
s004_l032_d0p0010,4,32,0.001,SPY,2025,6464,6464,-0.214820599926,-0.259069377464,0.181681462087,-1.58188723078,-0.31994810857,580,46.1169554455,32.5340346535,21.349009901
s004_l032_d0p0020,4,32,0.002,SPY,2020,6554,6522,0.146040424297,0.0856854122328,0.312587404808,0.420578981069,-0.215932165845,541,40.9690279056,28.7028518859,30.3281202085
s004_l032_d0p0020,4,32,0.002,SPY,2021,6540,6540,0.104520228396,0.0532815214967,0.104195197622,0.551191311331,-0.084335671803,475,33.8837920489,21.3149847095,44.8012232416
s004_l032_d0p0020,4,32,0.002,SPY,2022,6514,6514,-0.0268977180082,-0.0782395412251,0.201453442302,-0.305913239631,-0.238222251197,542,38.1178999079,40.5894995395,21.2926005527
s004_l032_d0p0020,4,32,0.002,SPY,2023,6476,6476,0.0713456858671,0.0160384790718,0.103182188696,0.207612885925,-0.0905879840152,530,34.7899938233,25.8801729463,39.3298332304
s004_l032_d0p0020,4,32,0.002,SPY,2024,6516,6516,0.0912933322288,0.0402536290932,0.091996387455,0.477287428256,-0.0903301675329,479,33.1338244322,22.3143032535,44.5518723143
s004_l032_d0p0020,4,32,0.002,SPY,2025,6464,6464,-0.0923054957896,-0.136407521227,0.163806777586,-0.825653443873,-0.211686734279,498,35.7518564356,25.1392326733,39.1089108911
s004_l064_d0p0000,4,64,0,SPY,2020,6554,6490,-0.0956897710986,-0.129364528499,0.329394456835,-0.254381050962,-0.394613568679,379,62.5577812018,37.4422187982,0
s004_l064_d0p0000,4,64,0,SPY,2021,6540,6540,0.0856430408685,0.0453708525714,0.126860881513,0.413836994121,-0.0827046579645,378,63.8685015291,36.1314984709,0
s004_l064_d0p0000,4,64,0,SPY,2022,6514,6514,0.260774229495,0.213273777318,0.226937732857,0.970407961753,-0.134318022428,384,47.3902364139,52.6097635861,0
s004_l064_d0p0000,4,64,0,SPY,2023,6476,6476,-0.0477695902954,-0.0862111468137,0.128736910149,-0.644126816782,-0.208372670593,412,58.5392217418,41.4607782582,0
s004_l064_d0p0000,4,64,0,SPY,2024,6516,6516,-0.0143091885884,-0.0510621908003,0.123685806062,-0.36438162491,-0.148536695343,380,60.8962553714,39.1037446286,0
s004_l064_d0p0000,4,64,0,SPY,2025,6464,6464,0.0326224922298,-0.00428164860968,0.193930701976,0.0745743108451,-0.183801077961,364,59.6225247525,40.3774752475,0
s004_l064_d0p0005,4,64,0.0005,SPY,2020,6554,6490,-0.0472699376784,-0.0829223642127,0.326772526889,-0.100078604069,-0.380281128855,381,59.7688751926,35.6086286595,4.62249614792
s004_l064_d0p0005,4,64,0.0005,SPY,2021,6540,6540,0.0750865472248,0.0345849096827,0.12347417242,0.337606614989,-0.0805749621843,384,60.4740061162,32.5688073394,6.95718654434
s004_l064_d0p0005,4,64,0.0005,SPY,2022,6514,6514,0.278827265959,0.233368336405,0.225214171445,1.04946911704,-0.133031148806,362,45.7936751612,51.1974209395,3.00890389929
s004_l064_d0p0005,4,64,0.0005,SPY,2023,6476,6476,-0.0568088604689,-0.0965136877454,0.124317239546,-0.7638034191,-0.206952693592,430,55.5435453984,38.6040765905,5.85237801112
s004_l064_d0p0005,4,64,0.0005,SPY,2024,6516,6516,-0.0073736119674,-0.0462929571465,0.118991832553,-0.341184959312,-0.140163228916,400,57.3818293432,35.8348680172,6.78330263966
s004_l064_d0p0005,4,64,0.0005,SPY,2025,6464,6464,-0.0497031441801,-0.0834891224197,0.18957822888,-0.371264079593,-0.202598151472,362,56.8688118812,37.8712871287,5.2599009901
