symbol,configuration_id,short_window,long_window,neutral_band,eligible_observations,non_zero_episode_count,long_episode_count,short_episode_count,median_holding_duration_bars,mean_holding_duration_bars,holding_duration_25th_percentile_bars,holding_duration_75th_percentile_bars,maximum_holding_duration_bars,overnight_carry_episode_count,session_crossing_episode_proportion,whipsaw_count,whipsaw_rate_per_1000_eligible_observations,whipsaw_episode_proportion
SPY,s004_l032_d0p0000,4,32,0,39064,1854,926,928,14,21.0523193096,5,30,148,1014,0.546925566343,417,10.6747900881,0.224919093851
SPY,s004_l032_d0p0005,4,32,0.0005,39064,1832,932,900,12,19.1304585153,5,27,144,920,0.502183406114,271,6.93733360639,0.147925764192
SPY,s004_l032_d0p0010,4,32,0.001,39064,1728,904,824,12,18.1886574074,5,27,132,824,0.476851851852,161,4.12144173664,0.0931712962963
SPY,s004_l032_d0p0020,4,32,0.002,39064,1533,812,721,11,16.1506849315,5,24,116,666,0.434442270059,62,1.58713905386,0.0404435746902
SPY,s004_l064_d0p0000,4,64,0,39064,1149,574,575,19,33.9425587467,5,51,265,688,0.598781549173,252,6.45095228343,0.219321148825
SPY,s004_l064_d0p0005,4,64,0.0005,39064,1160,588,572,18,31.8,6,46,265,686,0.591379310345,157,4.01904566865,0.135344827586
SPY,s004_l064_d0p0010,4,64,0.001,39064,1149,611,538,17,30.1479547433,5,45,265,657,0.57180156658,98,2.50870366578,0.0852915578764
SPY,s004_l064_d0p0020,4,64,0.002,39064,1093,576,517,15,27.78042086,5,41,170,619,0.566331198536,46,1.1775547819,0.0420860018298
SPY,s004_l096_d0p0000,4,96,0,39064,944,472,472,18,41.2796610169,5,59.25,359,570,0.603813559322,202,5.17100143354,0.213983050847
SPY,s004_l096_d0p0005,4,96,0.0005,39064,937,482,455,18,39.7993596585,5,55,334,553,0.590181430096,140,3.58386237968,0.149413020277
SPY,s004_l096_d0p0010,4,96,0.001,39064,937,485,452,17,37.9338313767,5,53,331,543,0.579509071505,100,2.55990169977,0.106723585912
SPY,s004_l096_d0p0020,4,96,0.002,39064,910,474,436,15,35.378021978,5,51,329,502,0.551648351648,51,1.30554986689,0.056043956044
SPY,s008_l032_d0p0000,8,32,0,39064,1465,732,733,21,26.643003413,9,36,191,989,0.675085324232,163,4.17263977063,0.111262798635
SPY,s008_l032_d0p0005,8,32,0.0005,39064,1425,726,699,20,24.1642105263,9,32,144,910,0.638596491228,71,1.81753020684,0.0498245614035
SPY,s008_l032_d0p0010,8,32,0.001,39064,1372,719,653,18,21.9526239067,8,29,129,795,0.57944606414,35,0.895965594921,0.0255102040816
