configuration_id,short_window,long_window,neutral_band,neighbor_count,neighbor_configuration_ids,net_sharpe_ratio,total_turnover,median_neighbor_net_sharpe,minimum_neighbor_net_sharpe,standard_deviation_neighbor_net_sharpe,proportion_neighbors_positive_net_return,proportion_neighbors_positive_break_even,median_neighbor_turnover,mean_absolute_one_step_net_sharpe_difference,mean_absolute_one_step_turnover_difference
s004_l032_d0p0000,4,32,0,3,s004_l032_d0p0005|s004_l064_d0p0000|s008_l032_d0p0000,-0.347797419282,3707,-0.00112138267787,-0.182839379718,0.103835036802,0,1,2929,0.307188932765,744
s004_l032_d0p0005,4,32,0.0005,4,s004_l032_d0p0000|s004_l032_d0p0010|s004_l064_d0p0005|s008_l032_d0p0005,-0.182839379718,3663,-0.0238884883782,-0.347797419282,0.152841736116,0,0.75,3152,0.174877996818,602.5
s004_l032_d0p0010,4,32,0.001,4,s004_l032_d0p0005|s004_l032_d0p0020|s004_l064_d0p0010|s008_l032_d0p0010,0.0142728918481,3455,0.0284849416193,-0.182839379718,0.0984582583458,0,1,2904,0.0735728284096,617
s004_l032_d0p0020,4,32,0.002,3,s004_l032_d0p0010|s004_l064_d0p0020|s008_l032_d0p0020,0.0547900112513,3065,0.0172256630852,0.0142728918481,0.0305946148208,0,1,2340,0.0346304383968,665
s004_l064_d0p0000,4,64,0,4,s004_l032_d0p0000|s004_l064_d0p0005|s004_l096_d0p0000|s008_l064_d0p0000,0.0621353028459,2297,0.0961240185717,-0.347797419282,0.208671151783,0.5,0.75,2103,0.159173165049,596.5
s004_l064_d0p0005,4,64,0.0005,5,s004_l032_d0p0005|s004_l064_d0p0000|s004_l064_d0p0010|s004_l096_d0p0005|s008_l064_d0p0005,0.0338127853117,2319,0.0621353028459,-0.182839379718,0.113820350071,0.2,1,2297,0.0904219386923,490
s004_l064_d0p0010,4,64,0.001,5,s004_l032_d0p0010|s004_l064_d0p0005|s004_l064_d0p0020|s004_l096_d0p0010|s008_l064_d0p0010,0.0021798719873,2297,0.0338127853117,0.0142728918481,0.0646133773516,0.4,1,2185,0.0695823888478,445.6
s004_l064_d0p0020,4,64,0.002,4,s004_l032_d0p0020|s004_l064_d0p0010|s004_l096_d0p0020|s008_l064_d0p0020,0.0172256630852,2185,0.0414567021131,0.0021798719873,0.0853960365039,0.25,1,2058,0.0667812412696,459.5
s004_l096_d0p0000,4,96,0,3,s004_l064_d0p0000|s004_l096_d0p0005|s008_l096_d0p0000,0.158435251832,1887,0.144249149469,0.0621353028459,0.0701828265622,0.666666666667,1,1873,0.0620139319683,304.666666667
s004_l096_d0p0005,4,96,0.0005,4,s004_l064_d0p0005|s004_l096_d0p0000|s004_l096_d0p0010|s008_l096_d0p0005,0.144249149469,1873,0.16803887571,0.0338127853117,0.086343254733,0.75,1,1880,0.0725902348961,229
s004_l096_d0p0010,4,96,0.001,4,s004_l064_d0p0010|s004_l096_d0p0005|s004_l096_d0p0020|s008_l096_d0p0010,0.177642499588,1873,0.182545954239,0.0021798719873,0.0966609509597,0.75,1,1846,0.0818081356059,231
s004_l096_d0p0020,4,96,0.002,3,s004_l064_d0p0020|s004_l096_d0p0010|s008_l096_d0p0020,0.22084275901,1819,0.177642499588,0.0172256630852,0.0832040847144,0.666666666667,1,1873,0.0871182325978,291.333333333
s008_l032_d0p0000,8,32,0,4,s004_l032_d0p0000|s008_l032_d0p0005|s008_l064_d0p0000|s016_l032_d0p0000,-0.00112138267787,2929,-0.152584963745,-0.347797419282,0.194422569565,0.25,0.5,2691,0.203749338953,607.5
s008_l032_d0p0005,8,32,0.0005,5,s004_l032_d0p0005|s008_l032_d0p0000|s008_l032_d0p0010|s008_l064_d0p0005|s016_l032_d0p0005,-0.0620498686045,2849,0.0296487086487,-0.182839379718,0.097516703407,0,1,2743,0.111047324977,516.4
s008_l032_d0p0010,8,32,0.001,5,s004_l032_d0p0010|s008_l032_d0p0005|s008_l032_d0p0020|s008_l064_d0p0010|s016_l032_d0p0010,0.0588417946561,2743,0.0142728918481,-0.0620498686045,0.0615220137149,0.2,1,2340,0.0580702776081,537.8
s008_l032_d0p0020,8,32,0.002,4,s004_l032_d0p0020|s008_l032_d0p0010|s008_l064_d0p0020|s016_l032_d0p0020,0.0805998588723,2340,0.0414567021131,-0.128390344617,0.0769653381758,0,0.75,2256.5,0.0772586453059,583.25
s008_l064_d0p0000,8,64,0,5,s004_l064_d0p0000|s008_l032_d0p0000|s008_l064_d0p0005|s008_l096_d0p0000|s016_l064_d0p0000,0.164272774394,1753,0.0621353028459,-0.170902551489,0.132404220789,0.2,0.8,1703,0.147563886433,490
s008_l064_d0p0005,8,64,0.0005,6,s004_l064_d0p0005|s008_l032_d0p0005|s008_l064_d0p0000|s008_l064_d0p0010|s008_l096_d0p0005|s016_l064_d0p0005,0.0988785187277,1703,0.074835124827,-0.0994316888169,0.129814976131,0.5,0.833333333333,1769,0.11406554721,411.333333333
s008_l064_d0p0010,8,64,0.001,6,s004_l064_d0p0010|s008_l032_d0p0010|s008_l064_d0p0005|s008_l064_d0p0020|s008_l096_d0p0010|s016_l064_d0p0010,0.115857464342,1785,0.0434825938154,-0.023201074291,0.090756012469,0.166666666667,1,1704,0.0919043596973,394
s008_l064_d0p0020,8,64,0.002,5,s004_l064_d0p0020|s008_l032_d0p0020|s008_l064_d0p0010|s008_l096_d0p0020|s016_l064_d0p0020,0.0281233929748,1705,0.0805998588723,-0.0157668565896,0.0779070211708,0.4,1,1785,0.0746361080615,377.8
s008_l096_d0p0000,8,96,0,4,s004_l096_d0p0000|s008_l064_d0p0000|s008_l096_d0p0005|s016_l096_d0p0000,0.233990996388,1397,0.176047718482,0.158435251832,0.047375076246,1,1,1585,0.0585113940981,290
s008_l096_d0p0005,8,96,0.0005,5,s004_l096_d0p0005|s008_l064_d0p0005|s008_l096_d0p0000|s008_l096_d0p0010|s016_l096_d0p0005,0.276594272413,1417,0.207642963489,0.0988785187277,0.057546676209,0.8,1,1427,0.0890781858249,216.4
s008_l096_d0p0010,8,96,0.001,5,s004_l096_d0p0010|s008_l064_d0p0010|s008_l096_d0p0005|s008_l096_d0p0020|s016_l096_d0p0010,0.25281880487,1427,0.177642499588,0.115857464342,0.05502128779,1,1,1417,0.0776887025163,238
s008_l096_d0p0020,8,96,0.002,4,s004_l096_d0p0020|s008_l064_d0p0020|s008_l096_d0p0010|s016_l096_d0p0020,0.206305416563,1365,0.217806462515,0.0281233929748,0.0883787456321,0.75,1,1566,0.0619243759492,289
s016_l032_d0p0000,16,32,0,3,s008_l032_d0p0000|s016_l032_d0p0005|s016_l064_d0p0000,-0.243120058886,2533,-0.00112138267787,-0.170902551489,0.088187459266,0,0.666666666667,2413,0.19566165038,540
s016_l032_d0p0005,16,32,0.0005,4,s008_l032_d0p0005|s016_l032_d0p0000|s016_l032_d0p0010|s016_l064_d0p0005,0.0296487086487,2413,-0.0807407787107,-0.243120058886,0.0930245263791,0,0.5,2383,0.127617936079,433.5
s016_l032_d0p0010,16,32,0.001,4,s008_l032_d0p0010|s016_l032_d0p0005|s016_l032_d0p0020|s016_l064_d0p0010,0.0127247065866,2233,0.00322381717885,-0.128390344617,0.0713588497918,0,0.75,2091.5,0.0600204805531,493.75
s016_l032_d0p0020,16,32,0.002,3,s008_l032_d0p0020|s016_l032_d0p0010|s016_l064_d0p0020,-0.128390344617,1770,0.0127247065866,-0.0157668565896,0.040421871581,0,1,2233,0.15424291424,484
s016_l064_d0p0000,16,64,0,4,s008_l064_d0p0000|s016_l032_d0p0000|s016_l064_d0p0005|s016_l096_d0p0000,-0.170902551489,1429,0.0324205427885,-0.243120058886,0.181131271634,0.5,0.5,1584,0.209397227503,442
s016_l064_d0p0005,16,64,0.0005,5,s008_l064_d0p0005|s016_l032_d0p0005|s016_l064_d0p0000|s016_l064_d0p0010|s016_l096_d0p0005,-0.0994316888169,1415,0.0296487086487,-0.170902551489,0.126080131542,0.2,0.8,1429,0.156433346903,322.4
