symbol,configuration_id,short_window,long_window,neutral_band,short_filter_lag_bars,long_filter_lag_bars,lag_spread_bars,observations,position_eligible_observations,gross_cumulative_return,gross_sharpe_ratio,net_cumulative_return,net_sharpe_ratio,net_max_drawdown,total_turnover,position_changing_bars,long_exposure_pct,short_exposure_pct,neutral_exposure_pct,break_even_status,break_even_cost_bps,calendar_years,positive_net_years,worst_annual_net_return,median_annual_net_return,standard_deviation_annual_net_return,positive_net_year_proportion
SPY,s004_l032_d0p0000,4,32,0,1.5,15.5,14,39064,39032,-0.157920150866,-0.0407881382774,-0.418790300528,-0.347797419282,-0.583686432116,3707,1855,56.3255790121,43.6718589875,0.00256200040992,non_positive_gross,,6,1,-0.322797738373,-0.0761498866593,0.172570315469,0.166666666667
SPY,s004_l032_d0p0005,4,32,0.0005,1.5,15.5,14,39064,39032,0.0357090865907,0.128804222955,-0.281973227476,-0.182839379718,-0.494909551546,3663,3368,51.1324041812,38.6580241853,10.2095716335,root_found,0.0957816440402,6,2,-0.299421681763,-0.0239010593982,0.163856088978,0.333333333333
SPY,s004_l032_d0p0010,4,32,0.001,1.5,15.5,14,39064,39032,0.28609814703,0.316264293939,-0.0896326570701,0.0142728918481,-0.373691863547,3455,3364,46.2056773929,34.3179954909,19.4763271162,root_found,0.728225631418,6,3,-0.259069377464,0.0164787170304,0.15264756039,0.5
SPY,s004_l032_d0p0020,4,32,0.002,1.5,15.5,14,39064,39032,0.307202695029,0.339573156866,-0.0378898680298,0.0547900112513,-0.304993024308,3065,3047,36.1088337774,27.3237343718,36.5674318508,root_found,0.873988103541,6,4,-0.136407521227,0.0281460540825,0.0857021426845,0.666666666667
SPY,s004_l064_d0p0000,4,64,0,1.5,31.5,30,39064,39000,0.199682032399,0.252442905391,-0.0465768923006,0.0621353028459,-0.394613568679,2297,1149,58.8128205128,41.1871794872,0,root_found,0.792417466376,6,2,-0.129364528499,-0.027671919705,0.121911713247,0.333333333333
SPY,s004_l064_d0p0005,4,64,0.0005,1.5,31.5,30,39064,39000,0.16538655904,0.228831104068,-0.0758568940925,0.0338127853117,-0.380281128855,2319,2106,55.9717948718,38.6128205128,5.41538461538,root_found,0.659891102525,6,2,-0.0965136877454,-0.0646076606796,0.127025650799,0.333333333333
SPY,s004_l064_d0p0010,4,64,0.001,1.5,31.5,30,39064,39000,0.123656493551,0.198169166192,-0.106983195951,0.0021798719873,-0.382784151289,2297,2220,52.7384615385,36.0820512821,11.1794871795,root_found,0.507496241824,6,2,-0.124992978303,-0.0539669873889,0.119797569243,0.333333333333
SPY,s004_l064_d0p0020,4,64,0.002,1.5,31.5,30,39064,39000,0.137201876413,0.20879195946,-0.0860406277884,0.0172256630852,-0.382635843502,2185,2170,46.3615384615,31.4948717949,22.1435897436,root_found,0.588329312574,6,2,-0.133762188293,-0.0498338513175,0.127823885854,0.333333333333
SPY,s004_l096_d0p0000,4,96,0,1.5,47.5,46,39064,38968,0.294747225844,0.31478377101,0.0720786918486,0.158435251832,-0.267777532062,1887,944,59.7490248409,40.2509751591,0,root_found,1.36875482525,6,2,-0.0855943941728,-0.0205695745854,0.121236069817,0.333333333333
SPY,s004_l096_d0p0005,4,96,0.0005,1.5,47.5,46,39064,38968,0.271892796305,0.30106395225,0.0546349366703,0.144249149469,-0.278200508173,1873,1673,57.5600492712,38.1389858345,4.30096489427,root_found,1.28396830525,6,1,-0.0789279901663,-0.0392507168071,0.14626469533,0.166666666667
