configuration_id,short_window,long_window,neutral_band,symbol,regime,observations,position_eligible_observations,net_return,net_annualized_volatility,net_sharpe_ratio,invested_exposure_pct,long_exposure_pct,short_exposure_pct,neutral_exposure_pct,turnover
s004_l032_d0p0000,4,32,0,SPY,high_volatility,7840,7834,-0.267853982979,0.384252396986,-0.485017502559,100,44.702578504,55.297421496,0,731
s004_l032_d0p0000,4,32,0,SPY,normal_volatility,31224,31198,-0.206156031775,0.11932888915,-0.346300497035,99.9967946663,59.2441823194,40.7526123469,0.00320533367524,2976
s004_l032_d0p0005,4,32,0.0005,SPY,high_volatility,7840,7834,-0.247251598171,0.377743015406,-0.438512338515,95.9663007404,42.6984937452,53.2678069951,4.03369925964,724
s004_l032_d0p0005,4,32,0.0005,SPY,normal_volatility,31224,31198,-0.0461264736276,0.113153152944,-0.030989889705,88.2396307456,53.2502083467,34.9894223989,11.7603692544,2939
s004_l032_d0p0010,4,32,0.001,SPY,high_volatility,7840,7834,-0.23124954217,0.371074022381,-0.405762868016,91.9070717386,40.5412305336,51.365841205,8.09292826142,714
s004_l032_d0p0010,4,32,0.001,SPY,normal_volatility,31224,31198,0.184216976598,0.107259209992,0.384422054238,77.665234951,47.6280530803,30.0371818706,22.334765049,2741
s004_l032_d0p0020,4,32,0.002,SPY,high_volatility,7840,7834,-0.209794433894,0.356255698553,-0.37321169095,84.8353331631,37.375542507,47.4597906561,15.1646668369,673
s004_l032_d0p0020,4,32,0.002,SPY,normal_volatility,31224,31198,0.217544109074,0.0943947350993,0.484767674511,58.0582088595,35.7907558177,22.2674530419,41.9417911405,2392
s004_l064_d0p0000,4,64,0,SPY,high_volatility,7840,7814,-0.245569227523,0.38430630133,-0.41963162995,100,41.8991553622,58.1008446378,0,476
s004_l064_d0p0000,4,64,0,SPY,normal_volatility,31224,31186,0.26376487079,0.119246325354,0.471577105511,100,63.0507278907,36.9492721093,0,1821
s004_l064_d0p0005,4,64,0.0005,SPY,high_volatility,7840,7814,-0.266585845886,0.380898859085,-0.488787938421,97.6580496545,40.5810084464,57.0770412081,2.34195034553,458
s004_l064_d0p0005,4,64,0.0005,SPY,normal_volatility,31224,31186,0.260056273421,0.115576268461,0.477486293328,93.8145321619,59.8281280062,33.9864041557,6.18546783813,1861
s004_l064_d0p0010,4,64,0.001,SPY,high_volatility,7840,7814,-0.278329687201,0.377733374184,-0.531773945838,95.7768108523,39.8131558741,55.9636549782,4.22318914768,450
s004_l064_d0p0010,4,64,0.001,SPY,normal_volatility,31224,31186,0.237430428009,0.111956362959,0.455285418926,87.0775347913,55.9770409799,31.1004938113,12.9224652087,1847
s004_l064_d0p0020,4,64,0.002,SPY,high_volatility,7840,7814,-0.203198518304,0.372243140767,-0.322799038132,91.6687995905,38.1878679294,53.4809316611,8.33120040952,442
s004_l064_d0p0020,4,64,0.002,SPY,normal_volatility,31224,31186,0.147035231744,0.104953154278,0.326758612917,74.3955621112,48.4095427435,25.9860193677,25.6044378888,1743
s004_l096_d0p0000,4,96,0,SPY,high_volatility,7840,7814,-0.081273658941,0.384229789089,0.00652274862851,100,40.2994625032,59.7005374968,0,400
