configuration_id,fast_window,slow_window,signal_window,neutral_band,neighbor_count,neighbor_configuration_ids,net_sharpe_ratio,total_turnover,median_neighbor_net_sharpe,minimum_neighbor_net_sharpe,standard_deviation_neighbor_net_sharpe,proportion_neighbors_positive_net_return,proportion_neighbors_positive_break_even,median_neighbor_turnover,mean_absolute_one_step_net_sharpe_difference,mean_absolute_one_step_turnover_difference
f008_s020_m006_b0p00000,8,20,6,0,4,f008_s020_m006_b0p00025|f008_s020_m009_b0p00000|f008_s026_m006_b0p00000|f012_s020_m006_b0p00000,-1.41496847063,8407,-1.07103836,-1.15967116035,0.0690856661436,0,0,7200,0.342524981641,1167.5
f008_s020_m006_b0p00025,8,20,6,0.00025,5,f008_s020_m006_b0p00000|f008_s020_m006_b0p00050|f008_s020_m009_b0p00025|f008_s026_m006_b0p00025|f012_s020_m006_b0p00025,-1.15967116035,6621,-0.999880670629,-1.41496847063,0.272901800527,0,0,6257,0.283139671989,1444.8
f008_s020_m006_b0p00050,8,20,6,0.0005,5,f008_s020_m006_b0p00025|f008_s020_m006_b0p00100|f008_s020_m009_b0p00050|f008_s026_m006_b0p00050|f012_s020_m006_b0p00050,-0.752537389702,4244,-0.837112311233,-1.15967116035,0.131826083858,0,0,4690,0.14913253967,1635.4
f008_s020_m006_b0p00100,8,20,6,0.001,4,f008_s020_m006_b0p00050|f008_s020_m009_b0p00100|f008_s026_m006_b0p00100|f012_s020_m006_b0p00100,-0.884880623955,1806,-0.743601578431,-0.771800997353,0.0416572789898,0,0,2431,0.154703714335,1257
f008_s020_m009_b0p00000,8,20,9,0,5,f008_s020_m006_b0p00000|f008_s020_m009_b0p00025|f008_s020_m012_b0p00000|f008_s026_m009_b0p00000|f012_s020_m009_b0p00000,-0.988026075627,7157,-0.877556836273,-1.41496847063,0.237298317697,0,0,6569,0.190325216398,774.8
f008_s020_m009_b0p00025,8,20,9,0.00025,6,f008_s020_m006_b0p00025|f008_s020_m009_b0p00000|f008_s020_m009_b0p00050|f008_s020_m012_b0p00025|f008_s026_m009_b0p00025|f012_s020_m009_b0p00025,-0.999880670629,6257,-0.873687014835,-1.15967116035,0.219397915058,0,0,6047,0.208030257747,860
f008_s020_m009_b0p00050,8,20,9,0.0005,6,f008_s020_m006_b0p00050|f008_s020_m009_b0p00025|f008_s020_m009_b0p00100|f008_s020_m012_b0p00050|f008_s026_m009_b0p00050|f012_s020_m009_b0p00050,-0.837112311233,4690,-0.705198988749,-0.999880670629,0.160816789518,0,0,4467,0.178090829592,1117.83333333
f008_s020_m009_b0p00100,8,20,9,0.001,5,f008_s020_m006_b0p00100|f008_s020_m009_b0p00050|f008_s020_m012_b0p00100|f008_s026_m009_b0p00100|f012_s020_m009_b0p00100,-0.661703484262,2472,-0.706867041699,-0.884880623955,0.182700574525,0,0,2794,0.169686709132,1060.8
f008_s020_m012_b0p00000,8,20,12,0,4,f008_s020_m009_b0p00000|f008_s020_m012_b0p00025|f008_s026_m012_b0p00000|f012_s020_m012_b0p00000,-0.846336022023,6569,-0.580866212653,-0.988026075627,0.224619515432,0,0,6041,0.268251930884,632
f008_s020_m012_b0p00025,8,20,12,0.00025,5,f008_s020_m009_b0p00025|f008_s020_m012_b0p00000|f008_s020_m012_b0p00050|f008_s026_m012_b0p00025|f012_s020_m012_b0p00025,-0.715711597127,5889,-0.673048623345,-0.999880670629,0.243249941323,0,0.2,5781,0.210972278826,784.4
