symbol,configuration_id,fast_window,slow_window,signal_window,neutral_band,fast_alpha,slow_alpha,signal_alpha,fast_half_life_bars,slow_half_life_bars,signal_half_life_bars,slow_minus_fast_half_life_bars,observations,position_eligible_observations,gross_cumulative_return,gross_sharpe_ratio,net_cumulative_return,net_sharpe_ratio,net_max_drawdown,total_turnover,position_changing_bars,long_exposure_pct,short_exposure_pct,neutral_exposure_pct,break_even_status,break_even_cost_bps,calendar_years,positive_net_years,worst_annual_net_return,median_annual_net_return,standard_deviation_annual_net_return,positive_net_year_proportion
SPY,f008_s020_m006_b0p00000,8,20,6,0,0.222222222222,0.0952380952381,0.285714285714,2.75808748945,6.92569172323,2.06004271711,4.16760423378,39064,39039,-0.628875488145,-0.719120955666,-0.839914685493,-1.41496847063,-0.840985643352,8407,4204,48.6744025206,51.3255974794,0,non_positive_gross,,6,0,-0.504092981874,-0.205808001641,0.177715381439,0
SPY,f008_s020_m006_b0p00025,8,20,6,0.00025,0.222222222222,0.0952380952381,0.285714285714,2.75808748945,6.92569172323,2.06004271711,4.16760423378,39064,39039,-0.484653096235,-0.535664668442,-0.734231178412,-1.15967116035,-0.735629050327,6621,6446,26.7809113963,27.2752888138,45.94379979,non_positive_gross,,6,1,-0.498013700847,-0.155100914826,0.213609914895,0.166666666667
SPY,f008_s020_m006_b0p00050,8,20,6,0.0005,0.222222222222,0.0952380952381,0.285714285714,2.75808748945,6.92569172323,2.06004271711,4.16760423378,39064,39039,-0.288978966539,-0.292127950022,-0.534914529996,-0.752537389702,-0.569945228476,4244,4204,15.2129921361,14.2703450396,70.5166628244,non_positive_gross,,6,2,-0.457449054528,-0.0838889005322,0.223184176239,0.333333333333
SPY,f008_s020_m006_b0p00100,8,20,6,0.001,0.222222222222,0.0952380952381,0.285714285714,2.75808748945,6.92569172323,2.06004271711,4.16760423378,39064,39039,-0.377371542448,-0.624624380092,-0.480268586904,-0.884880623955,-0.504298201195,1806,1801,5.19736673583,4.95145879761,89.8511744666,non_positive_gross,,6,3,-0.437161576503,-0.00106849474443,0.184635628024,0.5
SPY,f008_s020_m009_b0p00000,8,20,9,0,0.222222222222,0.0952380952381,0.2,2.75808748945,6.92569172323,3.10628371951,4.16760423378,39064,39036,-0.451505772473,-0.395608617845,-0.731906264828,-0.988026075627,-0.733568226436,7157,3579,48.5346859309,51.4653140691,0,non_positive_gross,,6,1,-0.450212325004,-0.173275880912,0.165951678427,0.166666666667
SPY,f008_s020_m009_b0p00025,8,20,9,0.00025,0.222222222222,0.0952380952381,0.2,2.75808748945,6.92569172323,3.10628371951,4.16760423378,39064,39036,-0.4374876869,-0.430792111593,-0.699150554715,-0.999880670629,-0.700053481864,6257,6033,31.5093759607,33.0156778358,35.4749462035,non_positive_gross,,6,1,-0.392367305719,-0.16308238912,0.18060526201,0.166666666667
SPY,f008_s020_m009_b0p00050,8,20,9,0.0005,0.222222222222,0.0952380952381,0.2,2.75808748945,6.92569172323,3.10628371951,4.16760423378,39064,39036,-0.353065152334,-0.360084606747,-0.595292052054,-0.837112311233,-0.615573744346,4690,4641,20.6552925505,20.3888718106,58.9558356389,non_positive_gross,,6,1,-0.380887289629,-0.145485735235,0.194246133551,0.166666666667
SPY,f008_s020_m009_b0p00100,8,20,9,0.001,0.222222222222,0.0952380952381,0.2,2.75808748945,6.92569172323,3.10628371951,4.16760423378,39064,39036,-0.281852530548,-0.350190518177,-0.439163472698,-0.661703484262,-0.49116997691,2472,2462,9.45537452608,8.65098883082,81.8936366431,non_positive_gross,,6,1,-0.353521317306,-0.0582570050125,0.167905127859,0.166666666667
SPY,f008_s020_m012_b0p00000,8,20,12,0,0.222222222222,0.0952380952381,0.153846153846,2.75808748945,6.92569172323,4.14923814618,4.16760423378,39064,39033,-0.386305368949,-0.302578805408,-0.681870902781,-0.846336022023,-0.68720669725,6569,3285,48.5358542772,51.4641457228,0,non_positive_gross,,6,1,-0.318845874378,-0.166835273549,0.12676799603,0.166666666667
SPY,f008_s020_m012_b0p00025,8,20,12,0.00025,0.222222222222,0.0952380952381,0.153846153846,2.75808748945,6.92569172323,4.14923814618,4.16760423378,39064,39033,-0.263172912602,-0.183085248191,-0.591141601914,-0.715711597127,-0.593813260849,5889,5668,33.9097686573,35.956754541,30.1334768017,non_positive_gross,,6,1,-0.244430560419,-0.158008281256,0.112510872759,0.166666666667
