configuration_id,fast_window,slow_window,signal_window,neutral_band,symbol,regime,observations,position_eligible_observations,net_return,net_annualized_volatility,net_sharpe_ratio,invested_exposure_pct,long_exposure_pct,short_exposure_pct,neutral_exposure_pct,turnover
f008_s020_m006_b0p00000,8,20,6,0,SPY,high_volatility,7840,7840,-0.567175350755,0.384324233379,-1.62685836339,100,50.5739795918,49.4260204082,0,1548
f008_s020_m006_b0p00000,8,20,6,0,SPY,normal_volatility,31224,31199,-0.630138175388,0.119342538146,-1.68913632541,100,48.197057598,51.802942402,0,6859
f008_s020_m006_b0p00025,8,20,6,0.00025,SPY,high_volatility,7840,7840,-0.499458787711,0.353537653169,-1.45717994326,81.0076530612,40.9183673469,40.0892857143,18.9923469388,1556
f008_s020_m006_b0p00025,8,20,6,0.00025,SPY,normal_volatility,31224,31199,-0.469037084134,0.0905822795727,-1.42121241178,47.283566781,23.2283085996,24.0552581814,52.716433219,5065
f008_s020_m006_b0p00050,8,20,6,0.0005,SPY,high_volatility,7840,7840,-0.483840791949,0.318989477538,-1.57084756282,62.5255102041,31.7346938776,30.7908163265,37.4744897959,1461
f008_s020_m006_b0p00050,8,20,6,0.0005,SPY,normal_volatility,31224,31199,-0.0989495823187,0.0658187309808,-0.299271945218,21.180166031,11.0612519632,10.1189140678,78.819833969,2783
f008_s020_m006_b0p00100,8,20,6,0.001,SPY,high_volatility,7840,7840,-0.45682542842,0.25094310261,-1.90468852741,33.0102040816,16.3265306122,16.6836734694,66.9897959184,1023
f008_s020_m006_b0p00100,8,20,6,0.001,SPY,normal_volatility,31224,31199,-0.0431595286512,0.0331221691973,-0.262927814813,4.40398730729,2.40071797173,2.00326933556,95.5960126927,783
f008_s020_m009_b0p00000,8,20,9,0,SPY,high_volatility,7840,7838,-0.482794538992,0.384347805886,-1.23959248957,100,50.369992345,49.630007655,0,1377
f008_s020_m009_b0p00000,8,20,9,0,SPY,normal_volatility,31224,31198,-0.481649450008,0.119344315799,-1.09567592201,100,48.0735944612,51.9264055388,0,5780
f008_s020_m009_b0p00025,8,20,9,0.00025,SPY,high_volatility,7840,7838,-0.451844904941,0.360479218154,-1.21161220297,86.2209747385,43.3273794335,42.8935953049,13.7790252615,1354
f008_s020_m009_b0p00025,8,20,9,0.00025,SPY,normal_volatility,31224,31198,-0.451159994687,0.0994530985863,-1.21610610305,59.0742996346,28.5402910443,30.5340085903,40.9257003654,4903
f008_s020_m009_b0p00050,8,20,9,0.0005,SPY,high_volatility,7840,7838,-0.442264362736,0.332139877498,-1.30098198237,72.3016075529,36.5144169431,35.7871906098,27.6983924471,1300
f008_s020_m009_b0p00050,8,20,9,0.0005,SPY,normal_volatility,31224,31198,-0.274373160138,0.079360109563,-0.80833238052,33.1912302071,16.6709404449,16.5202897622,66.8087697929,3390
f008_s020_m009_b0p00100,8,20,9,0.001,SPY,high_volatility,7840,7838,-0.424727305838,0.279696407271,-1.51010729248,47.6397040061,23.9984689972,23.6412350089,52.3602959939,1086
