strategy,symbol,frequency,dataset_id,configuration_id,start_timestamp,end_timestamp,sessions,observations,annualization_factor,partial_bar_count,warmup_observations,active_observations,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,turnover,average_exposure,long_exposure,short_exposure,flat_exposure,trade_count
trend_ratio,SPY,15min,spy_qqq_iwm_15min_2020-01-02_2025-12-31_sip_v3_development_canonical,trend_ratio_day06_baseline_v1,2020-01-02T14:30:00+0000,2025-12-31T20:45:00+0000,1508,39064,6552,0,32,39032,-0.00703776851183,0.190894962264,0.0588417946561,-0.298225326306,2743,77.1648903464,44.2790530846,32.8858372617,22.8351096536,2717
trend_ratio,SPY,30min,spy_qqq_iwm_15min_2020-01-02_2025-12-31_sip_v3_development_canonical,trend_ratio_day06_baseline_v1,2020-01-02T14:30:00+0000,2025-12-31T20:30:00+0000,1508,19532,3276,0,32,19500,-0.00293151180986,0.189672309511,0.0791916582911,-0.338073812708,1407,86.0153846154,50.7794871795,35.2358974359,13.9846153846,1383
trend_ratio,SPY,60min,spy_qqq_iwm_15min_2020-01-02_2025-12-31_sip_v3_development_canonical,trend_ratio_day06_baseline_v1,2020-01-02T14:30:00+0000,2025-12-31T20:30:00+0000,1508,10520,1764,1508,32,10488,-0.0209673205809,0.194619673196,-0.0116969719835,-0.423593476281,771,90.465293669,55.3299008391,35.1353928299,9.53470633105,743
trend_ratio,QQQ,15min,spy_qqq_iwm_15min_2020-01-02_2025-12-31_sip_v3_development_canonical,trend_ratio_day06_baseline_v1,2020-01-02T14:30:00+0000,2025-12-31T20:45:00+0000,1508,39064,6552,0,32,39032,0.00311996466784,0.23042837385,0.128983092641,-0.416320626781,2783,83.7159253945,47.8043656487,35.9115597458,16.2840746055,2745
trend_ratio,QQQ,30min,spy_qqq_iwm_15min_2020-01-02_2025-12-31_sip_v3_development_canonical,trend_ratio_day06_baseline_v1,2020-01-02T14:30:00+0000,2025-12-31T20:30:00+0000,1508,19532,3276,0,32,19500,-0.0115032802959,0.229048313924,0.0640303607607,-0.381755685284,1409,89.8461538462,52.5179487179,37.3282051282,10.1538461538,1358
trend_ratio,QQQ,60min,spy_qqq_iwm_15min_2020-01-02_2025-12-31_sip_v3_development_canonical,trend_ratio_day06_baseline_v1,2020-01-02T14:30:00+0000,2025-12-31T20:30:00+0000,1508,10520,1764,1508,32,10488,-0.0507574134837,0.23433857383,-0.105117525051,-0.494474510912,765,93.3257055683,55.0057208238,38.3199847445,6.67429443173,717
trend_ratio,IWM,15min,spy_qqq_iwm_15min_2020-01-02_2025-12-31_sip_v3_development_canonical,trend_ratio_day06_baseline_v1,2020-01-02T14:30:00+0000,2025-12-31T20:45:00+0000,1508,39064,6552,0,32,39032,-0.0874754236903,0.263280505759,-0.215804711629,-0.577577790532,2847,85.8398237344,44.681287149,41.1585365854,14.1601762656,2801
trend_ratio,IWM,30min,spy_qqq_iwm_15min_2020-01-02_2025-12-31_sip_v3_development_canonical,trend_ratio_day06_baseline_v1,2020-01-02T14:30:00+0000,2025-12-31T20:30:00+0000,1508,19532,3276,0,32,19500,0.0219571428324,0.263261684262,0.213683365095,-0.528950876196,1461,90.6461538462,46.9846153846,43.6615384615,9.35384615385,1417
trend_ratio,IWM,60min,spy_qqq_iwm_15min_2020-01-02_2025-12-31_sip_v3_development_canonical,trend_ratio_day06_baseline_v1,2020-01-02T14:30:00+0000,2025-12-31T20:30:00+0000,1508,10520,1764,1508,32,10488,-0.0625199118275,0.261221881435,-0.116807593928,-0.585252134097,851,93.0110602593,49.8760488177,43.1350114416,6.98893974066,797
ema_macd,SPY,15min,spy_qqq_iwm_15min_2020-01-02_2025-12-31_sip_v3_development_canonical,ema_macd_day08_baseline_v1,2020-01-02T14:30:00+0000,2025-12-31T20:45:00+0000,1508,39064,6552,0,34,39030,-0.060985379998,0.158146965274,-0.318135647089,-0.45592810386,3318,34.155777607,17.2892646682,16.8665129388,65.844222393,3303
ema_macd,SPY,30min,spy_qqq_iwm_15min_2020-01-02_2025-12-31_sip_v3_development_canonical,ema_macd_day08_baseline_v1,2020-01-02T14:30:00+0000,2025-12-31T20:30:00+0000,1508,19532,3276,0,34,19498,-0.00660917197918,0.16256131855,0.040804458399,-0.249709458386,2194,50.574417889,24.6640681095,25.9103497795,49.425582111,2182
ema_macd,SPY,60min,spy_qqq_iwm_15min_2020-01-02_2025-12-31_sip_v3_development_canonical,ema_macd_day08_baseline_v1,2020-01-02T14:30:00+0000,2025-12-31T20:30:00+0000,1508,10520,1764,1508,34,10486,0.0203950858117,0.177970950069,0.202794161853,-0.404596815839,1371,62.778943353,30.9841693687,31.7947739844,37.221056647,1356
ema_macd,QQQ,15min,spy_qqq_iwm_15min_2020-01-02_2025-12-31_sip_v3_development_canonical,ema_macd_day08_baseline_v1,2020-01-02T14:30:00+0000,2025-12-31T20:45:00+0000,1508,39064,6552,0,34,39030,-0.0803054498478,0.190079000748,-0.344897649575,-0.435093658012,4204,45.4240327953,22.7747886241,22.6492441712,54.5759672047,4179
ema_macd,QQQ,30min,spy_qqq_iwm_15min_2020-01-02_2025-12-31_sip_v3_development_canonical,ema_macd_day08_baseline_v1,2020-01-02T14:30:00+0000,2025-12-31T20:30:00+0000,1508,19532,3276,0,34,19498,0.0248732463582,0.202701130687,0.222674838319,-0.225843677343,2508,61.2473074161,29.8594727664,31.3878346497,38.7526925839,2480
ema_macd,QQQ,60min,spy_qqq_iwm_15min_2020-01-02_2025-12-31_sip_v3_development_canonical,ema_macd_day08_baseline_v1,2020-01-02T14:30:00+0000,2025-12-31T20:30:00+0000,1508,10520,1764,1508,34,10486,0.0460137524695,0.215075878769,0.316883663068,-0.359303587861,1443,71.7718863246,35.1134846462,36.6584016784,28.2281136754,1420
ema_macd,IWM,15min,spy_qqq_iwm_15min_2020-01-02_2025-12-31_sip_v3_development_canonical,ema_macd_day08_baseline_v1,2020-01-02T14:30:00+0000,2025-12-31T20:45:00+0000,1508,39064,6552,0,34,39030,-0.132602698801,0.218273028466,-0.54199825165,-0.611904815015,4538,50.8993082244,25.1831924161,25.7161158084,49.1006917756,4519
ema_macd,IWM,30min,spy_qqq_iwm_15min_2020-01-02_2025-12-31_sip_v3_development_canonical,ema_macd_day08_baseline_v1,2020-01-02T14:30:00+0000,2025-12-31T20:30:00+0000,1508,19532,3276,0,34,19498,0.0016672003721,0.233571813858,0.124209871645,-0.399560441524,2580,67.083803467,32.8956816084,34.1881218587,32.916196533,2552
ema_macd,IWM,60min,spy_qqq_iwm_15min_2020-01-02_2025-12-31_sip_v3_development_canonical,ema_macd_day08_baseline_v1,2020-01-02T14:30:00+0000,2025-12-31T20:30:00+0000,1508,10520,1764,1508,34,10486,-0.0182018603343,0.242719134367,0.0459896011533,-0.415054915951,1479,76.7118062178,37.4213236697,39.2904825482,23.2881937822,1437
