strategy,symbol,frequency,reference_symbol,reference_frequency,sharpe_ratio,sharpe_delta,annualized_return,annualized_return_delta,maximum_drawdown,maximum_drawdown_delta,turnover,turnover_ratio_to_reference,average_exposure,sign_matches_reference_return,sign_matches_reference_sharpe
trend_ratio,SPY,15min,SPY,15min,0.0588417946561,0,-0.00703776851183,0,-0.298225326306,0,2743,1,77.1648903464,True,True
trend_ratio,SPY,30min,SPY,15min,0.0791916582911,0.020349863635,-0.00293151180986,0.00410625670197,-0.338073812708,-0.0398484864022,1407,0.512942034269,86.0153846154,True,True
trend_ratio,SPY,60min,SPY,15min,-0.0116969719835,-0.0705387666396,-0.0209673205809,-0.013929552069,-0.423593476281,-0.125368149975,771,0.281079110463,90.465293669,True,False
trend_ratio,QQQ,15min,SPY,15min,0.128983092641,0.0701412979852,0.00311996466784,0.0101577331797,-0.416320626781,-0.118095300475,2783,1.01458257382,83.7159253945,False,True
trend_ratio,QQQ,30min,SPY,15min,0.0640303607607,0.0051885661046,-0.0115032802959,-0.00446551178409,-0.381755685284,-0.0835303589781,1409,0.51367116296,89.8461538462,True,True
trend_ratio,QQQ,60min,SPY,15min,-0.105117525051,-0.163959319708,-0.0507574134837,-0.0437196449719,-0.494474510912,-0.196249184605,765,0.278891724389,93.3257055683,True,False
trend_ratio,IWM,15min,SPY,15min,-0.215804711629,-0.274646506285,-0.0874754236903,-0.0804376551785,-0.577577790532,-0.279352464226,2847,1.03791469194,85.8398237344,True,False
trend_ratio,IWM,30min,SPY,15min,0.213683365095,0.154841570439,0.0219571428324,0.0289949113442,-0.528950876196,-0.230725549889,1461,0.532628508932,90.6461538462,False,True
trend_ratio,IWM,60min,SPY,15min,-0.116807593928,-0.175649388584,-0.0625199118275,-0.0554821433157,-0.585252134097,-0.287026807791,851,0.310244258112,93.0110602593,True,False
ema_macd,SPY,15min,SPY,15min,-0.318135647089,0,-0.060985379998,0,-0.45592810386,0,3318,1,34.155777607,True,True
ema_macd,SPY,30min,SPY,15min,0.040804458399,0.358940105488,-0.00660917197918,0.0543762080188,-0.249709458386,0.206218645474,2194,0.661241711875,50.574417889,True,False
ema_macd,SPY,60min,SPY,15min,0.202794161853,0.520929808942,0.0203950858117,0.0813804658098,-0.404596815839,0.0513312880201,1371,0.413200723327,62.778943353,False,False
ema_macd,QQQ,15min,SPY,15min,-0.344897649575,-0.0267620024862,-0.0803054498478,-0.0193200698498,-0.435093658012,0.0208344458473,4204,1.26702833032,45.4240327953,True,True
ema_macd,QQQ,30min,SPY,15min,0.222674838319,0.540810485408,0.0248732463582,0.0858586263562,-0.225843677343,0.230084426517,2508,0.755877034358,61.2473074161,False,False
ema_macd,QQQ,60min,SPY,15min,0.316883663068,0.635019310157,0.0460137524695,0.106999132468,-0.359303587861,0.0966245159981,1443,0.434900542495,71.7718863246,False,False
ema_macd,IWM,15min,SPY,15min,-0.54199825165,-0.223862604561,-0.132602698801,-0.0716173188033,-0.611904815015,-0.155976711156,4538,1.36769138035,50.8993082244,True,True
ema_macd,IWM,30min,SPY,15min,0.124209871645,0.442345518734,0.0016672003721,0.0626525803701,-0.399560441524,0.0563676623352,2580,0.777576853526,67.083803467,False,False
ema_macd,IWM,60min,SPY,15min,0.0459896011533,0.364125248242,-0.0182018603343,0.0427835196637,-0.415054915951,0.0408731879086,1479,0.44575045208,76.7118062178,True,False
