strategy,fold_id,comparison,comparison_type,row_count,maximum_absolute_difference,mismatch_count,tolerance,passed
trend_ratio,wf_2022,target_position,exact,6514,0,0,0,True
trend_ratio,wf_2022,signal_available,exact,6514,0,0,0,True
trend_ratio,wf_2022,executed_position,exact,6514,0,0,0,True
trend_ratio,wf_2022,position_eligible,exact,6514,0,0,0,True
trend_ratio,wf_2022,turnover,numeric,6514,0,0,9.9999999999999998e-13,True
trend_ratio,wf_2022,transaction_cost,numeric,6514,0,0,9.9999999999999998e-13,True
trend_ratio,wf_2022,gross_strategy_return,numeric,6514,0,0,9.9999999999999998e-13,True
trend_ratio,wf_2022,net_strategy_return,numeric,6514,0,0,9.9999999999999998e-13,True
trend_ratio,wf_2023,target_position,exact,6476,0,0,0,True
trend_ratio,wf_2023,signal_available,exact,6476,0,0,0,True
trend_ratio,wf_2023,executed_position,exact,6476,0,0,0,True
trend_ratio,wf_2023,position_eligible,exact,6476,0,0,0,True
trend_ratio,wf_2023,turnover,numeric,6476,0,0,9.9999999999999998e-13,True
trend_ratio,wf_2023,transaction_cost,numeric,6476,0,0,9.9999999999999998e-13,True
trend_ratio,wf_2023,gross_strategy_return,numeric,6476,0,0,9.9999999999999998e-13,True
trend_ratio,wf_2023,net_strategy_return,numeric,6476,0,0,9.9999999999999998e-13,True
trend_ratio,wf_2024,target_position,exact,6516,0,0,0,True
trend_ratio,wf_2024,signal_available,exact,6516,0,0,0,True
trend_ratio,wf_2024,executed_position,exact,6516,0,0,0,True
trend_ratio,wf_2024,position_eligible,exact,6516,0,0,0,True
trend_ratio,wf_2024,turnover,numeric,6516,0,0,9.9999999999999998e-13,True
trend_ratio,wf_2024,transaction_cost,numeric,6516,0,0,9.9999999999999998e-13,True
trend_ratio,wf_2024,gross_strategy_return,numeric,6516,0,0,9.9999999999999998e-13,True
trend_ratio,wf_2024,net_strategy_return,numeric,6516,0,0,9.9999999999999998e-13,True
trend_ratio,wf_2025,target_position,exact,6464,0,0,0,True
trend_ratio,wf_2025,signal_available,exact,6464,0,0,0,True
trend_ratio,wf_2025,executed_position,exact,6464,0,0,0,True
trend_ratio,wf_2025,position_eligible,exact,6464,0,0,0,True
trend_ratio,wf_2025,turnover,numeric,6464,0,0,9.9999999999999998e-13,True
trend_ratio,wf_2025,transaction_cost,numeric,6464,0,0,9.9999999999999998e-13,True
trend_ratio,wf_2025,gross_strategy_return,numeric,6464,0,0,9.9999999999999998e-13,True
trend_ratio,wf_2025,net_strategy_return,numeric,6464,0,0,9.9999999999999998e-13,True
ema_macd,wf_2022,target_position,exact,6514,0,0,0,True
ema_macd,wf_2022,signal_available,exact,6514,0,0,0,True
ema_macd,wf_2022,executed_position,exact,6514,0,0,0,True
ema_macd,wf_2022,position_eligible,exact,6514,0,0,0,True
ema_macd,wf_2022,turnover,numeric,6514,0,0,9.9999999999999998e-13,True
ema_macd,wf_2022,transaction_cost,numeric,6514,0,0,9.9999999999999998e-13,True
ema_macd,wf_2022,gross_strategy_return,numeric,6514,0,0,9.9999999999999998e-13,True
ema_macd,wf_2022,net_strategy_return,numeric,6514,0,0,9.9999999999999998e-13,True
ema_macd,wf_2023,target_position,exact,6476,0,0,0,True
ema_macd,wf_2023,signal_available,exact,6476,0,0,0,True
ema_macd,wf_2023,executed_position,exact,6476,0,0,0,True
ema_macd,wf_2023,position_eligible,exact,6476,0,0,0,True
ema_macd,wf_2023,turnover,numeric,6476,0,0,9.9999999999999998e-13,True
ema_macd,wf_2023,transaction_cost,numeric,6476,0,0,9.9999999999999998e-13,True
ema_macd,wf_2023,gross_strategy_return,numeric,6476,0,0,9.9999999999999998e-13,True
ema_macd,wf_2023,net_strategy_return,numeric,6476,0,0,9.9999999999999998e-13,True
ema_macd,wf_2024,target_position,exact,6516,0,0,0,True
ema_macd,wf_2024,signal_available,exact,6516,0,0,0,True
ema_macd,wf_2024,executed_position,exact,6516,0,0,0,True
ema_macd,wf_2024,position_eligible,exact,6516,0,0,0,True
ema_macd,wf_2024,turnover,numeric,6516,0,0,9.9999999999999998e-13,True
ema_macd,wf_2024,transaction_cost,numeric,6516,0,0,9.9999999999999998e-13,True
ema_macd,wf_2024,gross_strategy_return,numeric,6516,0,0,9.9999999999999998e-13,True
ema_macd,wf_2024,net_strategy_return,numeric,6516,0,0,9.9999999999999998e-13,True
ema_macd,wf_2025,target_position,exact,6464,0,0,0,True
ema_macd,wf_2025,signal_available,exact,6464,0,0,0,True
ema_macd,wf_2025,executed_position,exact,6464,0,0,0,True
ema_macd,wf_2025,position_eligible,exact,6464,0,0,0,True
ema_macd,wf_2025,turnover,numeric,6464,0,0,9.9999999999999998e-13,True
ema_macd,wf_2025,transaction_cost,numeric,6464,0,0,9.9999999999999998e-13,True
ema_macd,wf_2025,gross_strategy_return,numeric,6464,0,0,9.9999999999999998e-13,True
ema_macd,wf_2025,net_strategy_return,numeric,6464,0,0,9.9999999999999998e-13,True
