pair_id,fold_id,train_start,train_end_exclusive,test_start,test_end_exclusive,train_observations,test_observations,train_alpha,train_beta,beta_relative_deviation,beta_sign_stable,test_residual_adf_statistic,test_residual_adf_p_value,test_residual_stationary
SPY_QQQ,wf_2022,2020-01-02T00:00:00+00:00,2022-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,505,251,1.3351542832878991,0.79574039568039723,0.051336599528974042,True,-1.1962950704676512,0.67518744494167438,False
SPY_QQQ,wf_2023,2020-01-02T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,756,250,1.3053498554620404,0.80566399854764215,0.039505908398966727,True,-2.6807258399209632,0.077433336804702171,False
SPY_QQQ,wf_2024,2020-01-02T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,1006,252,1.3652297128525177,0.79611139473474513,0.05089430298806729,True,-1.4795111772282528,0.54362142668858615,False
SPY_QQQ,wf_2025,2020-01-02T00:00:00+00:00,2025-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,1258,250,1.1912080966701666,0.82695683942199327,0.014121073169785456,True,-2.3370536590009361,0.16029568834728347,False
SPY_IWM,wf_2022,2020-01-02T00:00:00+00:00,2022-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,505,251,2.0788486554328216,0.73047104818016173,0.39122736122690116,True,-2.0342301006354688,0.27176893438018301,False
SPY_IWM,wf_2023,2020-01-02T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,756,250,1.9531135885497077,0.76102160411077135,0.36576660874917211,True,-1.4927643107268758,0.53708764595767933,False
SPY_IWM,wf_2024,2020-01-02T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,1006,252,1.9343228401440165,0.77098008068232216,0.35746724072394159,True,-2.5956613941307021,0.093897288667718681,False
SPY_IWM,wf_2025,2020-01-02T00:00:00+00:00,2025-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,1258,250,0.81647841423448853,0.99503205018203911,0.1707429221702349,True,-2.7392836638123215,0.067483652361898808,False
QQQ_IWM,wf_2022,2020-01-02T00:00:00+00:00,2022-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,505,251,1.2293083354470582,0.86063263476808416,0.38499860182268486,True,-1.4425255808749691,0.56172769687335899,False
QQQ_IWM,wf_2023,2020-01-02T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,756,250,1.0924277272350302,0.88860865298093517,0.36500715643556714,True,-1.9224059942943896,0.32159513895526359,False
QQQ_IWM,wf_2024,2020-01-02T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,1006,252,1.0769810083004105,0.89819830986432259,0.35815446208832891,True,-3.1603519363077353,0.022397459209704814,True
QQQ_IWM,wf_2025,2020-01-02T00:00:00+00:00,2025-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,1258,250,-0.20886784214676979,1.1561841575931506,0.17379977850612435,True,-2.7206732314045339,0.070528706337501759,False
