fold_id,sample,sleeve_a,sleeve_b,observations,correlation
wf_2022,train,trend_ratio_spy,trend_ratio_qqq,505,0.74771233911026502
wf_2022,train,trend_ratio_spy,trend_ratio_iwm,505,0.68480177111045559
wf_2022,train,trend_ratio_spy,ema_macd_spy,505,-0.034290104856917983
wf_2022,train,trend_ratio_spy,ema_macd_qqq,505,0.0034611262870146487
wf_2022,train,trend_ratio_spy,ema_macd_iwm,505,-0.045554558988828771
wf_2022,train,trend_ratio_qqq,trend_ratio_iwm,505,0.44117872335734465
wf_2022,train,trend_ratio_qqq,ema_macd_spy,505,-0.047004835319056491
wf_2022,train,trend_ratio_qqq,ema_macd_qqq,505,0.054378982499405287
wf_2022,train,trend_ratio_qqq,ema_macd_iwm,505,-0.080886596241279682
wf_2022,train,trend_ratio_iwm,ema_macd_spy,505,-0.074032768193452711
wf_2022,train,trend_ratio_iwm,ema_macd_qqq,505,-0.030910003477404295
wf_2022,train,trend_ratio_iwm,ema_macd_iwm,505,-0.022069114452394935
wf_2022,train,ema_macd_spy,ema_macd_qqq,505,0.81315646687791976
wf_2022,train,ema_macd_spy,ema_macd_iwm,505,0.70013297235044403
wf_2022,train,ema_macd_qqq,ema_macd_iwm,505,0.52366272858311147
wf_2022,test,trend_ratio_spy,trend_ratio_qqq,251,0.86002322007813992
wf_2022,test,trend_ratio_spy,trend_ratio_iwm,251,0.79715542009284346
wf_2022,test,trend_ratio_spy,ema_macd_spy,251,0.22300087085144132
wf_2022,test,trend_ratio_spy,ema_macd_qqq,251,0.12349797319452026
wf_2022,test,trend_ratio_spy,ema_macd_iwm,251,0.11937784205980929
wf_2022,test,trend_ratio_qqq,trend_ratio_iwm,251,0.76571149244951553
wf_2022,test,trend_ratio_qqq,ema_macd_spy,251,0.26263383435319182
wf_2022,test,trend_ratio_qqq,ema_macd_qqq,251,0.20546218501124308
wf_2022,test,trend_ratio_qqq,ema_macd_iwm,251,0.15808662929687092
wf_2022,test,trend_ratio_iwm,ema_macd_spy,251,0.19206351531735738
wf_2022,test,trend_ratio_iwm,ema_macd_qqq,251,0.12652934750282419
wf_2022,test,trend_ratio_iwm,ema_macd_iwm,251,0.16327326496988867
wf_2022,test,ema_macd_spy,ema_macd_qqq,251,0.79637794552015928
wf_2022,test,ema_macd_spy,ema_macd_iwm,251,0.72727996691314967
wf_2022,test,ema_macd_qqq,ema_macd_iwm,251,0.66378764083042097
wf_2023,train,trend_ratio_spy,trend_ratio_qqq,756,0.78463348646728481
wf_2023,train,trend_ratio_spy,trend_ratio_iwm,756,0.71799566722499708
wf_2023,train,trend_ratio_spy,ema_macd_spy,756,0.038906349510079298
wf_2023,train,trend_ratio_spy,ema_macd_qqq,756,0.044433051228813754
wf_2023,train,trend_ratio_spy,ema_macd_iwm,756,0.0041892503066857118
wf_2023,train,trend_ratio_qqq,trend_ratio_iwm,756,0.54955549212980337
wf_2023,train,trend_ratio_qqq,ema_macd_spy,756,0.057474231436008993
wf_2023,train,trend_ratio_qqq,ema_macd_qqq,756,0.11460229073132858
wf_2023,train,trend_ratio_qqq,ema_macd_iwm,756,0.004441127737952558
wf_2023,train,trend_ratio_iwm,ema_macd_spy,756,-0.0033731632241064493
wf_2023,train,trend_ratio_iwm,ema_macd_qqq,756,0.019255031065712497
wf_2023,train,trend_ratio_iwm,ema_macd_iwm,756,0.029873880546551934
wf_2023,train,ema_macd_spy,ema_macd_qqq,756,0.80205846005035364
wf_2023,train,ema_macd_spy,ema_macd_iwm,756,0.70632023759649132
wf_2023,train,ema_macd_qqq,ema_macd_iwm,756,0.56603929900452266
wf_2023,test,trend_ratio_spy,trend_ratio_qqq,250,0.78668529374367635
wf_2023,test,trend_ratio_spy,trend_ratio_iwm,250,0.3796313821237543
wf_2023,test,trend_ratio_spy,ema_macd_spy,250,0.40683333779849279
wf_2023,test,trend_ratio_spy,ema_macd_qqq,250,0.3288141751365975
wf_2023,test,trend_ratio_spy,ema_macd_iwm,250,0.28676749963598674
wf_2023,test,trend_ratio_qqq,trend_ratio_iwm,250,0.22203122415073567
wf_2023,test,trend_ratio_qqq,ema_macd_spy,250,0.34424688746616278
wf_2023,test,trend_ratio_qqq,ema_macd_qqq,250,0.33024647287780712
wf_2023,test,trend_ratio_qqq,ema_macd_iwm,250,0.20626632832621508
wf_2023,test,trend_ratio_iwm,ema_macd_spy,250,0.23645907847190933
wf_2023,test,trend_ratio_iwm,ema_macd_qqq,250,0.22231357044887129
wf_2023,test,trend_ratio_iwm,ema_macd_iwm,250,0.23290037957765644
wf_2023,test,ema_macd_spy,ema_macd_qqq,250,0.68980720627236014
wf_2023,test,ema_macd_spy,ema_macd_iwm,250,0.50679721357933072
wf_2023,test,ema_macd_qqq,ema_macd_iwm,250,0.26738898204485739
wf_2024,train,trend_ratio_spy,trend_ratio_qqq,1006,0.78303206161235994
wf_2024,train,trend_ratio_spy,trend_ratio_iwm,1006,0.68006603564792523
wf_2024,train,trend_ratio_spy,ema_macd_spy,1006,0.061465038884029675
wf_2024,train,trend_ratio_spy,ema_macd_qqq,1006,0.069455868407580765
wf_2024,train,trend_ratio_spy,ema_macd_iwm,1006,0.030790461379133018
wf_2024,train,trend_ratio_qqq,trend_ratio_iwm,1006,0.50640815986841103
wf_2024,train,trend_ratio_qqq,ema_macd_spy,1006,0.078074739051658182
wf_2024,train,trend_ratio_qqq,ema_macd_qqq,1006,0.13701360452662509
wf_2024,train,trend_ratio_qqq,ema_macd_iwm,1006,0.027381380807588417
wf_2024,train,trend_ratio_iwm,ema_macd_spy,1006,0.014447774606912194
wf_2024,train,trend_ratio_iwm,ema_macd_qqq,1006,0.040789494188628039
wf_2024,train,trend_ratio_iwm,ema_macd_iwm,1006,0.052719452196751497
wf_2024,train,ema_macd_spy,ema_macd_qqq,1006,0.79186605175422953
wf_2024,train,ema_macd_spy,ema_macd_iwm,1006,0.6890278490910694
wf_2024,train,ema_macd_qqq,ema_macd_iwm,1006,0.53830847164852713
wf_2024,test,trend_ratio_spy,trend_ratio_qqq,252,0.82872011919428701
wf_2024,test,trend_ratio_spy,trend_ratio_iwm,252,0.50339488053897319
wf_2024,test,trend_ratio_spy,ema_macd_spy,252,-0.10410731025906503
wf_2024,test,trend_ratio_spy,ema_macd_qqq,252,-0.034729944086918277
wf_2024,test,trend_ratio_spy,ema_macd_iwm,252,-0.110947268530608
wf_2024,test,trend_ratio_qqq,trend_ratio_iwm,252,0.40921939179042771
wf_2024,test,trend_ratio_qqq,ema_macd_spy,252,-0.013216989252316812
wf_2024,test,trend_ratio_qqq,ema_macd_qqq,252,0.015858712328816055
wf_2024,test,trend_ratio_qqq,ema_macd_iwm,252,-0.071526397513652876
wf_2024,test,trend_ratio_iwm,ema_macd_spy,252,-0.088480519139579869
wf_2024,test,trend_ratio_iwm,ema_macd_qqq,252,-0.083979020450964031
wf_2024,test,trend_ratio_iwm,ema_macd_iwm,252,-0.074497368986153598
wf_2024,test,ema_macd_spy,ema_macd_qqq,252,0.81533666169369057
wf_2024,test,ema_macd_spy,ema_macd_iwm,252,0.53179654644830832
wf_2024,test,ema_macd_qqq,ema_macd_iwm,252,0.4722573812037752
wf_2025,train,trend_ratio_spy,trend_ratio_qqq,1258,0.78639005548118257
wf_2025,train,trend_ratio_spy,trend_ratio_iwm,1258,0.66220147376142824
wf_2025,train,trend_ratio_spy,ema_macd_spy,1258,0.050315812408075929
wf_2025,train,trend_ratio_spy,ema_macd_qqq,1258,0.060178998675903303
wf_2025,train,trend_ratio_spy,ema_macd_iwm,1258,0.017272399450150959
wf_2025,train,trend_ratio_qqq,trend_ratio_iwm,1258,0.4955623789063987
wf_2025,train,trend_ratio_qqq,ema_macd_spy,1258,0.070650524115850821
wf_2025,train,trend_ratio_qqq,ema_macd_qqq,1258,0.12453966287372671
wf_2025,train,trend_ratio_qqq,ema_macd_iwm,1258,0.016490292301190493
wf_2025,train,trend_ratio_iwm,ema_macd_spy,1258,0.0060555054293442373
wf_2025,train,trend_ratio_iwm,ema_macd_qqq,1258,0.027614577989865084
wf_2025,train,trend_ratio_iwm,ema_macd_iwm,1258,0.038217278601786642
wf_2025,train,ema_macd_spy,ema_macd_qqq,1258,0.79107958565568837
wf_2025,train,ema_macd_spy,ema_macd_iwm,1258,0.67277512008530194
wf_2025,train,ema_macd_qqq,ema_macd_iwm,1258,0.53118252838962121
wf_2025,test,trend_ratio_spy,trend_ratio_qqq,250,0.89548923419880366
wf_2025,test,trend_ratio_spy,trend_ratio_iwm,250,0.68507222648505295
wf_2025,test,trend_ratio_spy,ema_macd_spy,250,0.18980578970725506
wf_2025,test,trend_ratio_spy,ema_macd_qqq,250,0.091134498218125651
wf_2025,test,trend_ratio_spy,ema_macd_iwm,250,0.069139472307188449
wf_2025,test,trend_ratio_qqq,trend_ratio_iwm,250,0.56318282745260928
wf_2025,test,trend_ratio_qqq,ema_macd_spy,250,0.22229603667855768
wf_2025,test,trend_ratio_qqq,ema_macd_qqq,250,0.14964625575652626
wf_2025,test,trend_ratio_qqq,ema_macd_iwm,250,0.087998842723797252
wf_2025,test,trend_ratio_iwm,ema_macd_spy,250,0.095347433302805859
wf_2025,test,trend_ratio_iwm,ema_macd_qqq,250,0.013999442054513549
wf_2025,test,trend_ratio_iwm,ema_macd_iwm,250,0.10949376154491587
wf_2025,test,ema_macd_spy,ema_macd_qqq,250,0.91469261202676222
wf_2025,test,ema_macd_spy,ema_macd_iwm,250,0.83797929045637021
wf_2025,test,ema_macd_qqq,ema_macd_iwm,250,0.82316259894520305
